127,0.1380,0.2249,0.1380,,3.0
128,0.1415,0.2284,0.1415,,2.7
129,0.1311,0.2149,0.1311,,2.3
130,0.1441,0.2204,0.1412,,2.9
131,0.1401,0.2277,0.1401,,2.5
132,0.1402,0.1974,0.1402,,2.3
133,0.1333,0.2036,0.1333,,2.1
134,0.1392,0.2176,0.1392,,2.2
135,0.1380,0.1859,0.2550,,2.3
136,0.1277,0.2084,0.1277,,2.1
137,0.1335,0.1890,0.1335,,2.0
138,0.1352,0.2083,0.1352,,2.2
139,0.1372,0.1881,0.1372,,2.6
140,0.1354,0.1905,0.1393,,2.4
141,0.1349,0.1956,0.1349,,2.2
142,0.1344,0.1966,0.1344,,2.4
143,0.1371,0.2105,0.1371,,2.5
144,0.1370,0.2108,0.1370,,2.5
145,0.1300,0.1966,0.1909,,2.4
146,0.1348,0.2013,0.1348,,2.4
147,0.1334,0.1785,0.1334,,2.3
148,0.1278,0.1721,0.1278,,2.2
149,0.1361,0.2161,0.1361,,2.4
150,0.1286,0.2253,0.1574,,2.5
151,0.1313,0.1904,0.1313,,2.5
152,0.1312,0.1859,0.1312,,2.6
153,0.1282,0.2053,0.1282,,2.2
154,0.1340,0.2408,0.1340,,2.3
155,0.1354,0.2241,0.1345,,2.6
156,0.1352,0.1965,0.1352,,2.7
157,0.1305,0.1875,0.1305,,2.5
158,0.1322,0.2035,0.1322,,3.0
159,0.1303,0.2266,0.1303,,3.2
160,0.1280,0.2164,0.1465,,3.2
161,0.1191,0.2000,0.1191,,2.8
162,0.1286,0.2244,0.1286,,2.8
163,0.1350,0.2113,0.1350,,3.0
164,0.1324,0.2342,0.1324,,2.9
165,0.1247,0.1742,0.1620,,3.4
166,0.1355,0.1866,0.1355,,3.5
167,0.1281,0.1837,0.1281,,3.9
168,0.1279,0.2227,0.1279,,3.5
169,0.1258,0.1967,0.1258,,4.0
170,0.1245,0.1914,0.1756,,5.2
171,0.1217,0.1886,0.1217,,5.2
172,0.1339,0.1925,0.1339,,4.9
173,0.1312,0.2264,0.1312,,5.1
174,0.1312,0.2001,0.1312,,5.2
175,0.1361,0.2075,0.1305,,6.0
176,0.1371,0.2062,0.1371,,5.5
177,0.1295,0.1975,0.1295,,5.5
178,0.1298,0.1935,0.1298,,5.4
179,0.1266,0.2216,0.1266,,5.5
180,0.1308,0.2152,0.1493,,5.8
181,0.1337,0.1981,0.1337,,5.7
182,0.1291,0.2050,0.1291,,5.6
183,0.1266,0.2264,0.1266,,5.3
184,0.1261,0.1716,0.1261,,5.4
185,0.1263,0.1920,0.1504,,5.9
186,0.1290,0.2812,0.1290,,6.5
187,0.1275,0.2247,0.1275,,5.3
188,0.1272,0.1807,0.1272,,6.5
189,0.1231,0.1664,0.1231,,5.4
190,0.1245,0.2065,0.1782,,6.3
191,0.1232,0.1666,0.1232,,6.1
192,0.1335,0.2275,0.1335,,6.2
193,0.1331,0.1943,0.1331,,6.0
194,0.1294,0.1996,0.1294,,5.7
195,0.1230,0.1792,0.1636,,6.0
196,0.1209,0.1916,0.1209,,5.1
197,0.1397,0.1990,0.1397,,6.3
198,0.1278,0.2212,0.1278,,5.3
199,0.1330,0.2487,0.1330,,5.6
200,0.1318,0.1949,0.1428,,6.2
201,0.1365,0.2171,0.1365,,5.8
202,0.1240,0.2088,0.1240,,5.2
203,0.1245,0.1926,0.1245,,5.3
204,0.1336,0.2299,0.1336,,5.6
205,0.1318,0.1894,0.1699,,5.8
206,0.1293,0.1994,0.1293,,5.4
207,0.1328,0.2149,0.1328,,5.5
208,0.1295,0.1787,0.1295,,5.2
209,0.1337,0.1928,0.1337,,5.5
210,0.1346,0.2052,0.1437,,5.6
211,0.1299,0.1788,0.1299,,5.3
212,0.1306,0.2008,0.1306,,5.5
213,0.1298,0.2227,0.1298,,6.0
214,0.1307,0.1938,0.1307,,5.4
215,0.1277,0.1909,0.1162,,5.7
216,0.1304,0.1884,0.1304,,5.8
217,0.1218,0.1712,0.1218,,5.6
218,0.1238,0.1607,0.1238,,5.2
219,0.1277,0.1913,0.1277,,5.4
220,0.1264,0.1730,0.1308,,6.1
221,0.1229,0.1844,0.1229,,5.7
222,0.1286,0.2493,0.1286,,5.4
223,0.1328,0.2034,0.1328,,5.5
224,0.1268,0.1678,0.1268,,5.4
225,0.1296,0.2071,0.1342,,6.6
226,0.1227,0.1734,0.1227,,5.5
227,0.1264,0.1920,0.1264,,5.5
228,0.1263,0.2032,0.1263,,5.5
229,0.1303,0.1828,0.1303,,5.5
230,0.1237,0.1988,0.1240,,5.6
231,0.1209,0.1772,0.1209,,5.8
232,0.1254,0.1917,0.1254,,5.5
233,0.1224,0.1921,0.1224,,5.3
234,0.1245,0.1776,0.1245,,5.6
235,0.1246,0.1748,0.1310,,7.1
236,0.1272,0.1773,0.1272,,7.5
237,0.1179,0.1633,0.1179,,5.9
238,0.1316,0.2005,0.1316,,6.4
239,0.1299,0.1883,0.1299,,6.2
240,0.1277,0.1877,0.1692,,7.0
241,0.1371,0.2139,0.1371,,6.7
242,0.1252,0.1848,0.1252,,6.3
243,0.1306,0.1949,0.1306,,7.8
244,0.1295,0.2296,0.1295,,8.9
245,0.1299,0.2135,0.1242,,5.4
246,0.1293,0.1884,0.1293,,4.6
247,0.1167,0.2094,0.1167,,4.0
248,0.1234,0.2093,0.1234,,4.2
249,0.1232,0.2086,0.1232,,4.2
250,0.1336,0.2053,0.1548,,5.0
251,0.1334,0.2600,0.1334,,4.8
252,0.1137,0.1556,0.1137,,3.8
253,0.1273,0.2262,0.1273,,4.9
254,0.1263,0.1897,0.1263,,4.6
255,0.1213,0.1538,0.1394,,4.6
256,0.1200,0.1696,0.1200,,4.3
257,0.1200,0.1963,0.1200,,4.4
258,0.1185,0.1694,0.1185,,4.0
259,0.1259,0.2004,0.1259,,4.3
260,0.1219,0.1938,0.1211,,4.4
261,0.1239,0.1918,0.1239,,4.0
262,0.1255,0.2193,0.1255,,4.3
263,0.1203,0.1760,0.1203,,4.3
264,0.1263,0.1992,0.1263,,5.1
265,0.1244,0.1952,0.1208,,4.4
266,0.1214,0.1782,0.1214,,5.0
267,0.1074,0.2112,0.1074,,4.7
268,0.1196,0.1906,0.1196,,5.0
269,0.1231,0.1976,0.1231,,4.5
270,0.1229,0.1780,0.1269,,4.6
271,0.1281,0.1960,0.1281,,5.1
272,0.1230,0.1776,0.1230,,4.5
273,0.1280,0.1886,0.1280,,5.0
274,0.1135,0.1503,0.1135,,4.5
275,0.1181,0.1671,0.1259,,4.8
276,0.1192,0.1495,0.1192,,5.3
277,0.1242,0.1761,0.1242,,5.2
278,0.1253,0.1736,0.1253,,4.9
279,0.1189,0.1830,0.1189,,4.0
280,0.1266,0.1903,0.1438,,5.3
281,0.1296,0.1956,0.1296,,4.6
282,0.1279,0.1859,0.1279,,4.8
283,0.1289,0.1822,0.1289,,6.0
284,0.1202,0.1952,0.1202,,4.5
285,0.1205,0.1729,0.1509,,5.4
286,0.1264,0.1812,0.1264,,4.4
287,0.1193,0.1827,0.1193,,3.1
288,0.1234,0.1595,0.1234,,3.2
289,0.1223,0.1899,0.1223,,3.1
290,0.1286,0.2041,0.1777,,3.6
291,0.1262,0.1929,0.1262,,3.2
292,0.1236,0.2016,0.1236,,3.1
293,0.1266,0.1933,0.1266,,3.4
294,0.1307,0.1862,0.1307,,4.8
295,0.1292,0.1986,0.1567,,5.4
296,0.1325,0.2102,0.1325,,5.8
297,0.1299,0.2040,0.1299,,5.7
298,0.1415,0.2083,0.1415,,5.7
299,0.1360,0.1845,0.1360,,5.0
300,0.1313,0.1709,0.1358,,5.5
301,0.1292,0.2575,0.1292,,4.8
302,0.1242,0.1667,0.1242,,4.4
303,0.1322,0.1977,0.1322,,4.8
304,0.1325,0.1945,0.1325,,4.6
305,0.1285,0.1732,0.1167,,26.8
306,0.1363,0.1975,0.1363,,10.9
307,0.1236,0.1745,0.1236,,5.2
308,0.1164,0.1683,0.1164,,4.3
309,0.1329,0.1924,0.1329,,5.1
310,0.1307,0.1847,0.1454,,7.5
311,0.1347,0.2082,0.1347,,6.8
312,0.1276,0.2243,0.1276,,5.5
313,0.1211,0.2069,0.1211,,4.8
314,0.1337,0.2439,0.1337,,4.8
315,0.1305,0.1795,0.1544,,5.0
316,0.1317,0.1961,0.1317,,4.5
317,0.1311,0.2055,0.1311,,4.9
318,0.1278,0.2176,0.1278,,4.4
319,0.1281,0.1865,0.1281,,4.2
320,0.1261,0.1680,0.1849,,4.6
321,0.1218,0.1907,0.1218,,4.2
322,0.1364,0.1966,0.1364,,4.8
